ENSEMBL gene ID	E6_Lung	E4_Lung1	E4_Lung2	E4_Lung3	E1_LUNG3770	E1_LUNG3773	E1_LUNG3842	E1_LUNG3886
ENSBTAG00000008135	15.39168	9.787935	6.32103	6.006968	168.1114	143.7127	209.7296	158.6138
ENSBTAG00000008138	4.440136	4.111215	6.065825	2.678842	2.899441	2.636449	1.483158	2.465828
ENSBTAG00000008144	0.879573	3.497503	0.0	3.060914	1.650141	1.390738	0.885239	1.060624
ENSBTAG00000008145	14.15023	4.146894	6.720637	2.678015	17.73169	13.31909	21.69783	20.42176
ENSBTAG00000008147	8.946375	0.779782	1.192385	0.648003	15.67449	10.71178	10.95945	10.51379
ENSBTAG00000008182	11.06185	73.65372	65.80364	62.85551	10.18767	24.8662	154.8036	64.75738
ENSBTAG00000008218	24.39253	21.73296	10.36094	23.65173	48.10254	43.83854	30.62059	46.24652
ENSBTAG00000008219	13.33329	70.69786	68.85511	74.29321	16.94106	15.68192	19.22797	14.22209
ENSBTAG00000008220	6.614034	3.007493	1.201802	1.477746	4.203578	5.657504	10.87508	7.796584
ENSBTAG00000008243	1.376112	5.217874	2.747533	5.230383	5.292629	4.958236	3.784538	5.070628
ENSBTAG00000008250	10.64702	4.593658	2.212405	4.097472	10.29764	13.62838	4.966739	9.477253
ENSBTAG00000008289	34.57644	9.608745	7.465359	8.957725	40.23842	45.68104	26.75229	56.38102
ENSBTAG00000008296	25.37673	21.82885	13.73746	21.75103	14.15509	12.20704	16.91856	15.92096
ENSBTAG00000008331	1.025163	0.0	4.656788	0.276999	4.322365	6.95599	4.231214	7.145842
ENSBTAG00000008336	1.223272	0.0	0.0	0.439219	0.143261	0.299757	0.270031	0.783598
ENSBTAG00000008348	4.205236	0.838627	3.639092	1.495547	7.324922	7.264663	3.201384	6.764577
ENSBTAG00000008350	18.05169	8.896201	11.1483	8.89291	21.69721	17.92576	20.14475	26.97332
ENSBTAG00000008355	14.30158	1.359458	0.079182	0.508226	35.84921	30.73385	37.47382	32.18256
ENSBTAG00000008361	37.37105	75.71314	57.60831	62.78058	44.67756	39.33578	47.67006	45.24517
ENSBTAG00000008362	62.04694	22.83554	19.87451	23.79668	139.7259	140.7976	96.94159	152.939
ENSBTAG00000008363	0.0	0.239497	0.0	0.0	0.0	0.0	0.036917	0.0
ENSBTAG00000008369	33.92606	26.40925	14.69932	15.56708	48.92617	50.79571	49.79196	48.08286
ENSBTAG00000008370	14.41708	15.48687	23.16057	14.7794	6.640015	7.357104	6.500309	6.008829
ENSBTAG00000008372	14.86238	16.00487	13.9837	16.89522	9.658399	10.65868	9.40521	11.73272
ENSBTAG00000008382	0.447077	0.83219	0.253168	0.936287	0.47347	1.20613	0.818124	0.5698
ENSBTAG00000008385	10.11426	3.526726	2.10145	2.807972	19.36318	18.60682	15.98416	14.4351
ENSBTAG00000008395	20.5291	6.484841	2.171485	4.659853	25.4721	24.49428	28.1625	27.5303
ENSBTAG00000008396	17.35669	7.490778	9.773966	6.97871	17.38968	19.74736	23.65107	20.7634
ENSBTAG00000008417	40.53023	77.67065	78.9115	70.75275	43.83949	38.82454	55.98473	39.78675
ENSBTAG00000008423	7.478872	5.910539	4.568913	2.705109	6.334541	6.074203	6.826355	7.033616
ENSBTAG00000008424	47.41746	23.05225	1.461876	23.8059	47.2251	75.47623	54.83832	61.71853
ENSBTAG00000008426	0.267849	0.0	0.0	0.0	0.0	0.09557	0.0	0.0
