ENSEMBL gene ID	E1_LIVE3770	E1_LIVE3773	E1_LIVE3842	E1_LIVE3886	E4_Liver1	E4_Liver2	E4_Liver3
ENSBTAG00000018709	0.010794	0.010448	0.006735	0.011885	0.0	0.0	0.075521
ENSBTAG00000018715	16.96316	14.81784	18.53997	15.83723	28.84968	15.85542	16.04991
ENSBTAG00000018729	3.832821	5.252483	2.813891	3.780346	2.649688	3.533587	4.211266
ENSBTAG00000018730	6.187095	6.469903	4.339539	5.817043	0.134943	0.062769	0.188769
ENSBTAG00000018732	3.121043	2.785245	2.117194	2.2805	0.219536	0.408187	0.872039
ENSBTAG00000018735	31.03994	29.70444	28.93369	30.23326	6.492941	3.971318	3.761015
ENSBTAG00000018737	1.868648	2.056055	1.430443	1.786143	0.624019	1.321025	0.790303
ENSBTAG00000018739	1.220473	1.04592	0.993531	0.853968	5.531035	3.406374	4.871672
ENSBTAG00000018745	1.847329	1.90193	1.778905	1.603303	6.329819	9.883122	8.038077
ENSBTAG00000018770	2.019857	2.457711	2.898907	2.102565	3.795744	6.526078	4.600129
ENSBTAG00000018771	0.024423	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000018772	5.346577	7.202824	3.373704	6.40677	0.083961	0.308623	0.368372
ENSBTAG00000018775	2.4879	2.774235	1.553933	1.301622	1.164079	0.788116	1.038089
ENSBTAG00000018783	40.16519	41.7547	37.10503	42.01442	8.84334	7.559196	6.52832
ENSBTAG00000018784	573.4001	537.7786	469.2604	443.3334	108.9159	83.49387	86.16573
ENSBTAG00000018802	20.93665	19.65921	16.74125	15.8819	15.28206	13.2775	13.97977
ENSBTAG00000018803	23.32364	21.97209	26.12711	21.81522	4.480965	5.415248	6.454035
ENSBTAG00000018812	16.08938	15.83667	17.03269	12.2974	14.55179	11.13709	10.51479
ENSBTAG00000018813	68.84398	63.37656	74.48286	65.37375	13.92027	5.589365	8.542146
ENSBTAG00000018823	379.2111	390.2432	225.4052	334.4593	41.76157	24.73443	30.37584
ENSBTAG00000018845	1.281379	0.996013	0.287863	0.379067	1.473289	0.0	0.1969
ENSBTAG00000018847	14.96201	17.01403	16.80493	13.79721	4.859185	4.364906	5.813772
ENSBTAG00000018894	55.70284	62.14572	54.53991	59.74245	17.36109	7.060635	10.79819
ENSBTAG00000018898	5.248387	3.770838	3.880111	3.60805	2.788514	4.451292	5.513956
ENSBTAG00000018903	2.786107	2.81208	2.41158	2.393919	0.435492	0.182621	0.046676
ENSBTAG00000018904	0.768533	0.996982	0.797419	0.859398	0.0	0.0	0.390623
ENSBTAG00000018906	0.083441	0.24044	0.0	0.042478	0.0	0.0	0.078801
ENSBTAG00000018912	17.15034	14.39465	9.61882	13.15757	0.0	0.145169	0.0
ENSBTAG00000018918	67.96237	52.02809	83.66399	54.40121	7.497456	3.239117	6.375371
ENSBTAG00000018959	37.69046	37.89655	32.30833	31.21077	14.09265	18.01953	22.90369
ENSBTAG00000018973	22.9706	27.17516	26.00879	20.75143	9.86472	9.075451	13.87472
ENSBTAG00000019012	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000019023	26.70704	17.51412	34.8817	37.77506	2.950653	5.287913	3.273438
ENSBTAG00000019025	101.4454	79.89407	115.2514	89.34022	4.979386	0.0	0.0
ENSBTAG00000019029	3.866737	3.475409	3.69558	2.804698	8.037564	4.669766	6.586651
ENSBTAG00000019053	0.035864	0.0	0.215454	0.0	0.0	0.158415	0.0
ENSBTAG00000019059	2.646511	3.106566	1.371769	1.554127	0.0	0.0	0.0
ENSBTAG00000019070	1.017196	0.9707	0.480855	0.643143	0.803181	0.214482	0.604968
ENSBTAG00000019091	1.856902	4.495078	4.340333	2.279987	6.194672	4.680597	3.964548
ENSBTAG00000019114	0.057153	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000019120	0.852704	0.721333	0.721431	0.391732	0.106272	0.386632	0.45415
ENSBTAG00000019121	3.551598	2.62797	1.764742	2.024075	0.0	0.0	0.0
ENSBTAG00000019125	4.612727	4.174639	6.269048	5.116055	14.48842	14.7275	15.0656
ENSBTAG00000019129	19.21155	21.50042	22.05433	24.80432	14.00359	8.107882	13.88263
ENSBTAG00000019145	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000019150	59.49641	47.97516	39.52784	40.54777	2.158504	1.536875	2.19972
ENSBTAG00000019153	6.800616	5.840724	3.498284	4.558495	2.446692	0.967544	2.572351
ENSBTAG00000019158	0.038288	0.132828	0.167319	0.137549	0.0	0.0	0.0
ENSBTAG00000019160	50.46921	57.54377	54.18376	46.33014	30.83943	32.0283	34.80963
ENSBTAG00000019161	11.57342	10.27395	13.56533	11.03166	0.043343	0.499249	0.0
ENSBTAG00000019162	3.129655	3.177827	1.828992	2.337247	1.176482	2.325447	1.099787
ENSBTAG00000019163	10.16249	9.785675	10.43285	10.4982	4.296539	3.408501	2.966212
ENSBTAG00000019167	15.00758	14.63883	10.29567	12.96941	2.253776	1.789995	2.759996
ENSBTAG00000019168	0.409209	0.175693	0.167388	0.080157	0.0	0.0	0.0
ENSBTAG00000019177	14.73283	8.219433	13.50469	8.330882	2.035212	2.401881	2.052791
ENSBTAG00000019184	16.98227	15.29903	16.04385	13.48693	17.06402	12.99763	13.29674
ENSBTAG00000019188	32.48329	42.38124	21.23363	32.06082	1.422524	0.626775	1.251982
ENSBTAG00000019198	5.226981	4.250071	5.389144	5.953493	2.257657	3.399181	2.937367
ENSBTAG00000019202	16.42298	15.10283	9.603682	12.61326	9.341811	5.434903	5.896469
ENSBTAG00000019209	1.945075	1.358622	1.625751	1.285763	12.92059	8.956649	6.306115
ENSBTAG00000019210	0.079765	0.057593	0.172848	0.114624	0.0	0.0	0.0
ENSBTAG00000019211	7.212483	4.728322	7.499394	4.295369	10.34844	8.200336	5.890915
ENSBTAG00000019220	5.765299	5.714983	3.848308	3.983515	1.478618	1.052837	1.34187
ENSBTAG00000019231	13.38917	11.95012	13.82736	13.13615	8.162222	10.7143	8.513289
